./new-calib-3.9: New touch screen calibration program v3.9
Serial Number='131E1E00010B060102B1'
Entering calib_delay
 X= 544 X2= 542  Y= 536 Y2= 536 P1= 888 P2= 300 T1=  37 T2=  33  P=  -1  D=  20 tn=0 wfr=0 sd=0
 X= 545 X2= 544  Y= 539 Y2= 537 P1= 882 P2= 312 T1=  38 T2=  31  P=  -1  D=  30 tn=0 wfr=0 sd=0
 X= 542 X2= 542  Y= 536 Y2= 536 P1= 890 P2= 296 T1=  35 T2=  36  P=  -1  D=  40 tn=0 wfr=0 sd=0
 X= 542 X2= 540  Y= 535 Y2= 535 P1= 887 P2= 302 T1=  36 T2=  32  P=  -1  D=  60 tn=0 wfr=0 sd=0
 X= 540 X2= 540  Y= 533 Y2= 533 P1= 880 P2= 317 T1=  31 T2=  31  P=  -1  D=  80 tn=0 wfr=0 sd=0
 X= 538 X2= 538  Y= 532 Y2= 531 P1= 880 P2= 317 T1=  33 T2=  31  P=  -1  D=   5 tn=0 wfr=0 sd=0
 X= 539 X2= 539  Y= 531 Y2= 530 P1= 879 P2= 317 T1=  31 T2=  31  P=  -1  D=  10 tn=0 wfr=0 sd=0
 X= 539 X2= 539  Y= 531 Y2= 531 P1= 880 P2= 317 T1=  31 T2=  30  P=  -1  D=  15 tn=0 wfr=0 sd=0
 X= 538 X2= 538  Y= 532 Y2= 530 P1= 880 P2= 318 T1=  31 T2=  31  P=  -1  D=  20 tn=0 wfr=0 sd=0
 X= 539 X2= 539  Y= 532 Y2= 530 P1= 879 P2= 318 T1=  31 T2=  30  P=  -1  D=  30 tn=0 wfr=0 sd=0
 X= 539 X2= 538  Y= 531 Y2= 531 P1= 879 P2= 319 T1=  30 T2=  31  P=  -1  D=  40 tn=0 wfr=0 sd=0
 X= 540 X2= 539  Y= 532 Y2= 532 P1= 879 P2= 319 T1=  31 T2=  31  P=  -1  D=  60 tn=0 wfr=0 sd=0
 X= 539 X2= 538  Y= 531 Y2= 531 P1= 879 P2= 319 T1=  31 T2=  30  P=  -1  D=  80 tn=0 wfr=0 sd=0
 X= 539 X2= 539  Y= 531 Y2= 531 P1= 879 P2= 320 T1=  30 T2=  30  P=  -1  D=   5 tn=0 wfr=0 sd=0
